unitid,opeid
425986,02219501  
458760,00464204  
163851,00209100  
262156,00224903  
163842,209600.0
262165,04140300  
131098,00143300  
196635,03031000  
426013,-2      
229407,01172100  
196644,00779000  
191153,02332300  
229416,02362000  
131113,00794800  
458797,3832303.0
262192,-2      
229425,02285900  
131122,-2      
458803,00817810  
196662,00790400  
484677,32098829  
458812,01054213  
196671,-2      
131140,-2      
458821,00757310  
393287,-2      
196680,00283400  
458830,00966413  
163921,02127900  
131159,00143400  
262235,01180200  
458849,00757301  
458858,02079411  
426095,-2      
458867,00757308  
229504,01006000  
458885,00145984  
454999,04147400  
262280,02501700
229522,01202000  
409625,-2      
426138,-2      
262299,01054209  
196769,02107400
458779,00464207  
229540,00366200  
458919,00145939  
213020,00327700  
426165,-2      
458937,145988.0
262332,02616700  
262341,03034400  
458955,00145991  
229586,01127400
131283,00143700  
196820,01314300
447865,04029300  
164058,02083600  
458973,00145987  
262369,02520400  
163888,-2      
458982,02117104  
229610,00985100
131308,1195000.0
458991,00464205  
442408,02599711  
164085,02578400  
459000,02079409  
196857,02116011  
262402,02520200  
164100,734100.0
457192,04183100  
229638,3731300.0
262411,02353900
185730,00757302  
196653,00281200  
459028,2079402.0
229656,04178400  
459037,00757304  
426271,03474500  
229665,02190300
459046,00757312  
212780,00895403  
195322,00678500  
229674,02076400
393515,-2      
459055,00966410  
262448,02519600
164146,00795900  
229683,01229600
393524,02282300  
459064,00945910  
262457,2120701.0
158431,02055400  
229692,01309200
459073,01260605  
262466,04172500  
131399,00144100  
426314,00147900  
229708,01041300
131405,01280300  
459091,01116603  
164182,-2      
441919,03010603  
442426,02340501  
453349,2289802.0
459107,00267816  
459116,04174100  
262509,02611000  
164207,146200.0
459125,04174200  
164216,00210800  
131450,00144300  
459134,04148900  
229762,-2      
486123,04158800  
459143,04150100  
262536,-2      
229771,-2      
131469,00144400  
459152,4150500.0
197009,00507200
164243,1006500.0
229780,00366300  
459161,04160100  
197018,01118900  
238971,00777400  
459170,04162800  
197027,00289200  
229799,00366400  
131496,00144500  
197036,00289300  
164270,00210900  
163912,00209500  
262581,-2      
229814,00366500  
131511,01266500  
393658,-2      
459198,04165900  
131520,00144800  
459204,04169700  
229832,00954900  
164298,-2      
459213,04169800  
229841,00366800  
393685,-2      
459222,04172000  
197081,00907700  
447379,02306805  
459231,04175200  
197090,01218800
459240,04140400  
131566,2279200.0
486141,04192500  
449764,03982300  
393719,-2      
459259,01303910  
229887,00366900  
420608,02220000  
262660,01260609  
164359,-2      
229896,-2      
459277,04167100  
164368,04143200  
459286,04170200  
262679,-2      
197151,00746800  
229920,03090700
196699,00288000  
459301,04171100  
459310,04116400  
426545,-2      
205151,-2        
229948,-2      
459329,04146300  
197188,00289800
229957,02270800  
459338,04164500  
197197,00289900  
158477,00200300  
489937,00295600  
459347,04167300  
164438,03965300  
459356,04168500  
164447,00211400  
229984,01147900  
459365,04170800  
459374,04175000  
164465,00211500  
230010,02115400  
393852,-2      
459392,04172700  
393861,02595600  
164492,00211700  
459408,04122000  
230038,00367000  
459417,04163300  
426651,-2        
164508,00807201
131742,02588900  
230047,00160600  
459426,04157600  
197285,00520800  
230056,01116600  
459435,04130300  
197294,00288100  
230065,03921300  
459444,04154500  
164535,02169900  
230074,02572802  
459453,4173100.0
156055,-2      
459462,03988300  
197319,-2      
426697,-2      
131788,00145600  
459471,04165700  
164562,00211800  
480718,-2        
459480,04167700  
197337,01192100  
164571,211900.0
377315,03025000  
409722,-2      
234960,02291700  
164580,00212100  
459499,04167400  
197364,00775200
131830,02132800  
164599,02337400  
393977,02519800  
459514,04168700  
230144,02078800  
459523,04168800  
164614,03248300  
459532,04169000  
230162,02156600  
459541,04169900  
164632,00212200  
230171,00367100  
459550,04170100  
164641,00396500  
230180,02579000
394022,-2      
202204,03065800  
459569,4172900.0
240435,00389400  
230199,02573100  
459578,04165300  
230205,02572700  
426819,-2      
164678,02338200  
459596,00732988  
164687,-2      
459602,10732906  
459611,10732901  
426846,-2      
459620,10732935.0
131946,02204400
475282,03440402  
164720,00212300  
459639,00732978  
131964,00146300
459648,10732926  
164739,00212400  
131973,00146400  
459657,00732974  
164748,00212600  
394129,-2      
459666,00732980  
125763,00134200  
131991,-2      
437060,02609205  
459675,10732915  
240453,00389600  
438665,00699100  
442523,04138600  
459684,732987.0
164775,00216700  
459693,10732920.0
207689,00318300  
459709,10732928  
426943,-2      
459718,00732956  
262305,03012106  
200800,00312300  
459727,04142500  
459736,04142600  
442532,02108203  
453455,00372609  
230366,02178500  
459745,02155306  
197610,02506800  
164845,00817807  
230384,00732953  
164854,02183100
126605,00729700  
213163,00820000  
197638,03016500
164872,00396600  
240471,00392300  
442541,-2        
427025,03416300  
230418,00367200  
459815,3756301.0
394280,-2      
197674,01167000  
459824,04142601  
185864,-2      
164915,03194300  
459833,461706.0
164924,00212800  
427070,-2      
132161,-2      
459842,00962103  
125268,00429700
164933,00212900  
420705,03110800  
230472,2298500.0
459851,00962104  
197531,01185900  
120333,03474700  
459860,3771302.0
230490,02346500  
164960,-2      
235024,01231500  
459879,3771301.0
475325,03422304  
459888,3771305.0
437097,04110300  
459897,3771306.0
427131,-2      
164988,00213000  
132222,-2      
459903,3771304.0
441946,-2        
480790,04218900  
459912,3771303.0
459921,3771307.0
125806,-2      
165015,00213300  
459930,723407.0
165024,00218300  
165033,00217600  
132268,02346200  
459949,04248500  
161527,02104400  
459958,03424401  
427195,-2      
230588,00367901  
132286,02578500
459967,03035305  
165060,00632200  
230597,00367900  
459976,3035307.0
230603,00367800  
459985,03035306  
176804,01034700
165079,-2      
197850,00798500  
230621,00367400  
460002,04115702  
230630,00367401  
460011,03052301  
197869,00290600  
132338,01019500  
460020,01031906  
197878,04120300  
165112,01121000  
458964,00145937  
197887,00403300  
456135,00945912  
460039,04051330  
240514,00728900  
197902,02286304  
460048,04051329  
230676,01116500  
132374,01226300  
197911,00290800  
460057,04171700  
480815,03010634  
165149,02063800  
197920,022792A3
460066,03670301  
132392,-2      
460075,04133100  
427308,03181400  
165167,02182900  
132408,02159600  
394554,03153401  
147679,00173500  
197948,00290900  
460093,02339703  
394563,03153400  
197957,02286301  
427335,03433500  
230728,00367700  
453516,-2.0
165194,00216800  
460109,02180108  
197966,00855800  
165200,-2      
480824,03426301  
460118,02533603  
230746,00522000  
482325,00405729  
460127,02099705  
197984,00291000  
230755,-2      
460136,02217118  
197993,00291100  
427371,-2      
230764,00367500  
460145,03101801  
427380,-2      
132471,00146600  
198011,00798700  
475370,03010628  
165246,-2      
453525,-2        
165255,02220400  
164076,00209900  
460172,02306808  
427405,-2      
180461,00253200  
165264,00632400  
460181,00887101  
198039,00968400  
460190,02089601  
230816,00368200  
147697,00173600  
230825,1218300.0
132523,1112700.0
460206,02361602  
240541,03032800
230834,00368300  
394679,02125001  
198075,781400.0
132541,02517200
160445,02554800  
431691,02188100  
198084,02170700  
409847,02310900
230861,01116700  
165334,00213900  
198109,00647700  
437158,-2      
198118,00483500  
230889,00368600  
156082,00194900  
230898,00368700  
480851,03078000  
198136,00291300  
132602,00146700  
230913,00368800  
198154,00532000  
165389,02319400
213251,00327900  
165398,02214900
175023,-2        
230940,00369000  
427557,03195300
460330,3053400.0
198190,04101300  
230959,00369100  
132657,00150500  
132666,02200100  
235103,00500100  
460349,00340400  
198206,00808100  
230977,02254000  
132675,03382300  
460358,00450303  
198215,00291400  
114956,-2      
486327,04231800  
460367,450302.0
230995,00369200  
132693,00147000  
460376,04144000  
198233,00531800  
442639,03218301  
231004,00865800  
394846,02332829  
120421,01284200  
460385,04175900  
198242,01026400  
132709,00150000  
460394,04173500  
198251,00544900  
180498,-2      
198260,00291500  
165495,02274300  
196884,00289000  
226170,-2      
475413,04202800  
231040,00606900
175041,00553300  
147749,01236200  
453570,01260604  
427663,00732914  
231059,00369400  
165529,00214300  
435417,01257300
231068,00886000  
460446,02105901  
198303,00291600  
231077,00368500  
460455,04155301  
185970,01062900  
231086,00369300  
460464,04176100  
198321,00808200  
165556,01246115  
231095,02143500  
460473,00931309  
198330,00531600  
404426,03100400  
460482,00469208  
165574,00214400  
460491,3927302.0
198349,02286307  
461120,03840300  
165592,-2      
460507,3927303.0
136826,02524200  
198367,00679900  
460516,02248210  
427751,-2      
165608,00551900  
132842,01072401  
231147,01193400  
460525,03422303  
198385,00291800  
132851,00147100  
231156,02916200  
460534,02248211  
164137,02161000  
132860,-2      
180522,00253300  
460543,02362003  
165635,00613600  
231174,00369600  
460552,04167601  
165644,00214500  
132879,00349503  
460561,04175600  
198419,00292000  
231192,00368402  
460570,00466607  
165662,00214600  
165671,00214700  
460589,00466606  
165680,02079400  
431752,02249100
180531,-2      
460598,02104003  
198455,00544800  
131380,-2      
460604,02565001  
395070,-2      
198464,00292300  
165699,00214800  
460613,04051332  
165705,00214900  
213303,00328000  
460622,4169600.0
460631,04162501  
395098,-2      
198491,00885500  
132958,-2      
395104,-2      
415376,03105900  
164155,00210100  
427876,023328A4
366225,02285200
198507,00292600  
132976,02297000  
460659,03874301  
198516,00292700  
427894,02332840  
460668,2263108.0
198525,2210400.0
147776,00169300  
460677,01194004  
198534,00764000  
165769,-2      
460686,722901.0
427919,02332836  
153241,00185800  
198552,00531700  
460701,03816301  
427937,02060901
460710,02153102  
427946,-2        
231341,02615700
460729,04189300  
395195,04194300  
165820,00218400  
198589,02286300  
460738,04127700  
427973,03126300  
198598,00293000  
395210,-2      
133067,-2      
480930,02149902  
427982,03126400  
457183,03026509  
460756,04182200  
198613,00293100  
427991,03127900  
165848,00396700
231387,-2      
460765,04178100  
198622,00483800  
428000,03125600  
231396,-2      
460774,03010624  
198631,2238700.0
375416,03026511  
165866,00218500  
460783,03026510  
198640,00798600  
231411,03127500  
186025,-2      
165884,00215100  
115029,-2      
428037,3127200.0
133128,02142500
198668,00808300  
388098,03128800  
428046,03126600
460817,00499205  
395283,03113109  
198677,03089300  
428055,03124200  
460826,02614207  
133155,01323400  
198695,00293300  
428073,03126900  
460844,03010623  
186034,00999400  
165936,00215300  
475486,01248302  
198710,00293400  
165945,00974700  
428091,03128200  
460862,04171400  
460871,00638506  
198729,00768700  
428107,03128000  
395344,03959300  
211750,2304400.0
133207,-2      
224271,01076100  
428125,03125300  
175120,02260500  
395362,03542400  
460899,00367406  
198756,00293600  
428134,03124600  
460905,01042401  
115047,00120400  
428143,02306811  
231536,00681900  
460914,04175300  
198774,00933600  
428152,03124700
231545,-2      
460923,03010625  
428161,03124400
231554,00370300  
460932,04174000  
428170,03123900  
231563,01290100
460941,04188900  
231572,02567300  
460950,04172800  
404505,02616400  
198808,00293900  
448196,03987300  
231581,00370400  
198817,00294000  
453659,-2        
166054,00215400  
196477,01103100  
395432,01293900
460969,04170300  
480967,04224900  
166063,987700.0
460978,02230502  
198835,00294100  
382665,03052600
460987,04183400  
198844,01192600  
428222,-2        
166081,-2      
460996,04170600  
486433,04235500  
231624,00370500  
362700,02326900  
461005,00466610  
198862,00294200  
461014,02219503  
198871,00294300  
453668,-2        
231642,2247200.0
461023,04157400  
220640,00535300  
428259,00193704  
461032,04154200  
428268,02179909  
461041,03380304  
198899,00294400  
428277,02260401  
198905,00798800  
461050,-2.0
428286,01258401  
198914,01119700  
404523,02614902
428295,-2        
231688,02128700  
133386,00147500  
198923,00808500  
115074,001205A4  
453677,-2        
231697,00498800  
198932,-2      
428310,03068602  
231703,03665300  
100636,1230800.0
198941,00647800  
362782,02523900  
461087,02052700  
231712,00370600  
198950,00294500  
158769,547100.0
428329,00488901  
100654,00100200  
428338,3180500.0
461111,02324400  
198969,00294600  
428347,02270801  
240693,00393300  
362816,-2      
198978,02614201  
377227,03081800
453686,-2        
362825,-2      
198987,00294700  
428365,-2      
231758,-2      
100690,02503400  
461139,04073300  
198996,2227900.0
428374,02151904  
467571,01049067  
133465,01303904  
461148,04118800  
199005,02056500  
179025,00639202  
428383,-2      
100706,00105500  
461157,04131500  
199014,04115700  
428392,03428300  
231785,00267811  
133483,-2      
475538,04192600  
461166,4143000.0
404541,02150202
100724,00100500  
461175,04145600  
428408,-2      
442772,003743A1  
453695,-2        
100733,00800400  
461184,4149600.0
199041,-2      
133508,00147700  
461193,04151700  
428426,00127200  
133517,-2      
100751,00105100  
147864,-2      
224323,00365100  
231828,00267812  
133526,00147800  
100760,00100700  
461209,4154300.0
428444,04051300  
231837,00662200  
461218,04155100  
199078,02205000  
395690,02553600  
461227,04156100  
231855,00957200
191560,02230300
104179,00108300  
461236,04156500  
221582,00971000  
199096,022863A1  
100797,-2      
199102,00290500  
231873,00499600  
461254,04159600  
199111,00290700  
231882,00375800  
100812,00100800  
461263,04159700  
199120,00297400  
395733,03479400  
461272,04161900  
100830,00831000  
461281,04162000  
199139,00297500  
149569,-2      
461290,04162200  
199148,00297600  
199157,00295000  
166391,00215800  
100858,00100900  
461315,04164700  
363013,02099702  
241225,00502200  
166407,00633100  
461324,04165000  
199184,00398100  
133650,00148000  
100885,-2      
175193,00554106  
166425,-2      
461342,04165500  
443085,03669300  
133669,00148100  
461351,04166000  
199209,00295100  
461360,04166900  
199218,00298400  
166452,00216000  
100919,00105901  
448266,3953300.0
459189,04163400  
100928,-2        
461379,04168900  
199236,-2      
442806,03709300  
133702,00148400  
126049,01085400  
100937,00101200  
461388,04169100  
133711,00789300  
232016,02334400  
207971,00318500  
461397,04169200  
232025,00370900  
461403,4169300.0
199263,00703100  
166498,00989900  
461412,04169400  
199272,00295300  
232043,00370800  
461421,04170700  
166513,00216100  
186131,00262700  
232052,00374800  
461430,04171000  
442815,00466603  
133757,-2      
232070,-2      
101000,-2      
461449,04171500  
199306,00295500  
363147,02563000  
133775,-2      
461458,4171600.0
